"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
12,25,47,59,59,64,71,71,84,103,111,148,181,225,229,261,262,337,399,499,592
40,42,46,47,55,56,62,76,78,107,162,178,200,214,226,240,319,337,360,480,514
4,6,21,24,31,57,65,126,132,134,155,156,181,203,263,268,327,352,426,427,481
1,24,39,47,56,62,73,84,93,107,167,172,205,224,233,277,317,330,359,396,573
29,50,51,70,71,71,78,95,105,107,110,112,121,127,136,154,243,324,443,533,809
3,12,24,26,53,63,95,98,98,106,133,169,201,208,217,251,252,274,310,390,856
11,26,48,56,64,65,85,94,105,109,130,148,152,211,211,219,236,265,302,489,813
9,9,35,40,52,54,71,103,105,137,154,160,187,189,198,201,232,344,357,399,803
7,13,15,31,31,65,69,73,78,103,115,163,168,201,213,259,290,450,464,479,552
9,16,24,32,33,43,67,75,87,96,107,133,176,181,253,311,347,350,494,495,510
9,13,14,17,37,37,44,74,82,82,89,113,113,210,312,331,344,351,393,459,715
2,7,13,18,26,27,38,55,70,107,122,147,149,210,231,307,318,371,461,462,698
21,43,59,63,73,75,86,86,111,116,128,148,189,215,217,233,307,342,377,401,549
14,30,30,34,36,46,56,71,82,83,139,159,205,211,221,245,294,379,455,475,574
6,9,13,13,14,23,26,37,47,55,69,69,75,101,132,134,168,419,668,741,1020
1,3,23,43,50,50,59,67,74,76,148,151,180,201,226,261,304,377,426,457,662
1,20,20,41,41,45,45,62,64,75,93,98,101,101,115,115,314,349,452,514,1173
17,40,57,58,60,66,82,102,107,109,115,123,127,135,163,206,249,289,417,631,686
24,30,47,67,68,92,104,129,138,139,139,139,188,195,200,227,250,279,387,425,572
9,18,30,30,36,47,59,71,125,131,139,142,143,151,233,343,357,387,387,497,504
7,9,10,25,34,34,54,78,81,83,84,85,117,134,144,187,202,204,345,460,1462
2,11,13,21,34,42,121,124,142,165,171,174,182,182,183,212,259,360,395,437,609
3,3,11,35,78,84,84,90,100,117,135,142,147,158,163,188,191,224,351,574,961
9,9,12,26,28,32,36,63,66,82,103,107,124,165,207,285,322,432,442,531,758
8,8,25,27,49,49,74,92,102,107,109,143,145,186,254,276,412,418,425,465,465
23,31,34,37,39,46,46,53,141,141,150,181,182,201,227,231,232,281,294,403,866
5,5,10,14,24,27,47,71,72,109,128,135,140,155,244,278,319,368,443,504,741
2,6,21,23,29,39,48,70,92,99,104,108,114,126,224,271,336,433,474,539,681
12,16,28,29,42,46,46,53,54,57,84,100,105,105,125,142,146,304,427,448,1470
2,2,6,7,12,16,83,87,88,97,106,108,128,143,181,256,377,381,453,506,800
6,7,17,39,45,51,59,91,97,104,114,122,122,135,188,214,372,376,392,542,746
30,43,70,90,104,112,115,125,143,145,145,164,166,170,182,188,189,223,322,355,758
32,40,40,61,62,69,74,107,135,141,157,161,162,199,234,280,284,298,324,359,620
4,17,20,28,31,75,91,94,104,119,130,137,165,185,195,209,218,300,348,394,975
7,8,29,57,71,71,76,97,107,119,125,146,155,189,226,263,285,301,301,304,902
2,9,26,31,36,48,68,86,102,153,173,181,181,194,232,263,307,362,412,462,511
13,13,19,20,22,38,42,62,78,89,90,128,135,198,243,277,315,315,381,434,927
9,18,26,39,41,58,67,84,98,114,132,136,140,156,198,309,326,374,455,506,553
45,53,53,54,63,81,88,108,113,138,149,155,181,224,242,243,248,303,327,432,539
2,10,10,13,19,23,26,27,57,71,97,130,143,145,175,220,284,288,635,667,797
27,27,28,29,66,117,120,134,134,141,157,162,166,167,167,200,231,328,353,509,576
17,28,29,39,40,40,72,90,90,112,141,159,172,183,285,340,354,369,369,408,502
2,10,11,29,31,63,88,102,104,109,118,154,168,173,260,264,282,296,433,480,662
37,59,60,91,93,96,102,112,119,119,122,135,167,181,219,233,296,336,396,433,433
10,11,30,44,53,63,74,74,83,99,105,157,160,224,246,259,279,337,414,449,668
1,3,11,14,15,50,70,74,104,109,136,211,226,250,264,281,379,402,407,407,425
12,62,74,75,78,81,82,89,92,97,118,128,173,195,206,246,256,256,403,408,708
30,44,44,46,49,88,90,114,118,125,125,127,179,189,221,256,257,300,432,500,505
1,2,10,23,28,36,57,78,80,89,89,121,130,194,194,194,246,310,366,573,1018
7,16,16,17,19,35,51,99,108,118,145,152,160,173,188,213,242,254,434,637,755
5,7,7,42,45,52,59,71,107,115,120,176,188,188,268,353,353,391,408,419,465
21,21,23,35,38,64,74,115,125,153,155,168,181,182,241,298,333,355,377,400,480
2,5,16,19,30,47,61,72,100,113,115,117,117,207,249,252,258,329,449,609,672
3,11,37,41,42,53,61,83,106,118,122,168,235,268,278,281,303,403,404,405,417
8,27,28,39,39,95,99,104,120,121,122,148,183,186,215,222,246,256,446,534,601
3,24,25,31,34,84,85,86,147,149,156,175,185,188,215,218,321,370,370,412,561
6,11,14,14,20,50,51,51,60,67,93,116,143,174,182,241,252,273,330,503,1188
18,48,48,49,58,100,104,109,123,124,134,134,154,171,178,221,229,304,405,486,642
19,28,37,41,45,52,54,83,116,120,145,154,213,213,213,228,275,285,292,479,747
8,11,16,31,38,48,48,54,54,164,183,184,204,215,232,302,343,369,379,409,547
1,7,25,38,41,67,82,94,96,97,149,169,194,245,266,278,280,348,357,488,517
2,19,27,32,37,37,50,65,105,121,148,160,171,212,241,255,267,311,357,376,846
6,25,38,38,38,44,61,67,84,96,96,145,186,224,224,260,302,353,362,544,646
20,25,47,57,65,72,78,112,130,141,152,157,162,165,188,191,357,376,402,414,528
3,12,15,19,21,35,57,94,95,103,114,151,223,234,261,267,304,331,382,435,683
22,45,72,73,101,106,110,113,131,131,132,135,138,141,194,252,292,300,307,349,695
1,23,32,32,40,43,51,53,59,59,61,64,73,115,140,177,257,307,361,919,972
11,21,31,36,37,49,67,76,76,77,89,100,105,165,237,251,272,278,461,478,922
7,8,11,11,37,43,57,75,75,77,121,180,216,221,291,337,364,368,398,428,514
15,31,32,35,44,52,62,69,80,88,134,141,141,153,161,258,258,397,398,617,673
4,8,29,43,61,61,61,67,76,125,131,131,132,145,193,232,251,324,331,706,728
41,44,62,93,101,105,113,133,142,162,180,180,182,195,215,217,294,311,317,365,387
1,9,15,22,28,46,60,65,78,93,105,133,170,172,227,257,338,398,486,516,620
8,9,20,43,52,74,89,91,108,109,155,172,187,196,209,249,259,289,375,557,588
6,9,12,12,18,29,38,47,56,105,122,215,223,238,260,276,306,354,400,507,606
11,21,36,54,62,66,67,96,126,148,157,165,180,191,239,252,262,350,351,411,594
14,35,46,48,55,69,71,71,85,85,86,130,133,136,143,143,275,434,453,570,757
16,21,33,33,35,43,65,71,118,139,161,175,191,232,258,292,313,340,355,454,494
6,9,15,26,34,43,54,66,141,154,157,167,178,182,189,216,279,282,373,408,860
7,21,31,34,36,48,54,110,140,145,151,155,160,176,239,239,271,331,343,445,703
12,34,50,53,63,65,68,75,86,109,112,129,161,189,282,296,310,331,383,506,525
1,21,26,35,44,53,53,56,57,84,105,109,140,147,148,227,246,277,359,552,1099
5,27,40,44,45,61,66,69,89,142,146,160,160,165,190,231,337,382,458,469,553
3,17,21,47,56,59,59,89,92,119,140,158,164,165,177,220,226,252,470,523,782
11,19,23,24,33,36,37,41,45,47,65,72,74,83,195,255,298,306,521,785,869
13,18,23,35,35,52,59,67,104,117,133,147,230,236,263,265,310,345,422,433,532
18,21,40,44,54,73,88,90,93,97,150,158,171,188,190,202,224,267,333,364,974
2,11,26,35,40,42,46,49,70,79,121,160,177,210,292,306,318,364,410,449,632
24,37,47,52,60,64,70,103,126,153,158,169,194,231,233,277,277,291,333,461,479
13,24,30,39,46,70,91,101,131,161,169,178,222,224,228,237,259,259,288,403,666
7,12,13,13,38,59,89,105,147,157,159,159,172,184,236,282,309,356,387,471,484
5,12,16,26,34,36,59,70,72,99,106,108,113,122,161,209,254,328,438,500,1071
2,11,37,41,44,51,72,79,82,84,110,138,190,192,202,246,311,357,438,572,580
3,4,28,47,82,84,88,93,98,102,116,134,146,151,229,236,263,339,352,401,843
4,45,45,63,81,134,148,151,151,173,182,188,189,208,224,225,233,257,295,402,441
1,15,18,30,40,42,48,52,61,64,73,101,125,134,169,245,302,430,480,513,896
31,46,53,59,60,62,75,77,99,134,162,182,198,203,211,232,357,392,396,400,410
5,7,11,23,26,34,44,59,67,74,111,139,155,221,280,303,311,341,416,502,710
18,19,19,27,40,44,47,143,149,151,152,153,161,187,223,240,288,353,370,456,599
4,12,21,40,52,69,71,93,133,140,146,153,174,180,181,215,278,310,371,537,659
3,13,15,16,19,38,43,123,126,136,146,158,162,184,211,233,238,268,289,375,1043
8,8,13,35,49,58,58,62,70,100,107,118,175,180,195,204,248,271,419,725,736
17,21,27,35,64,68,99,112,150,150,169,169,184,207,211,223,224,241,395,445,628
4,24,33,36,56,61,63,79,92,108,110,111,132,142,145,153,162,273,414,697,944
2,3,39,51,77,107,122,127,154,158,163,172,191,203,237,239,252,257,352,379,554
11,14,29,42,51,56,73,88,107,109,147,185,213,228,255,281,293,309,315,421,612
7,16,31,31,53,88,120,122,144,146,151,166,179,196,213,217,241,243,378,460,637
5,14,22,29,30,54,74,77,114,124,168,176,220,220,317,335,341,361,371,371,416
9,19,20,41,79,80,86,158,159,162,175,180,195,220,232,237,257,278,350,377,525
13,23,26,26,37,49,52,66,69,73,145,146,158,178,191,207,298,324,386,470,902
11,21,26,27,48,65,71,89,100,100,145,189,235,282,315,315,331,339,355,357,418
3,17,40,43,45,45,65,116,123,127,181,186,188,213,259,260,284,302,407,409,526
8,20,31,64,69,85,102,113,143,153,156,161,192,206,243,277,330,341,347,376,422
18,23,35,40,64,65,67,70,94,105,109,129,166,190,209,209,286,286,469,514,691
5,16,29,35,44,61,65,75,77,98,104,120,150,211,264,267,271,358,393,522,674
11,11,24,32,34,34,37,39,39,66,86,110,151,248,259,321,414,423,440,488,572
2,26,34,53,57,61,61,71,80,96,103,116,145,176,226,238,280,302,392,517,803
19,22,33,37,41,61,80,80,82,118,124,129,138,143,157,284,307,308,394,490,792
6,34,57,79,87,102,103,109,124,125,154,184,187,195,211,247,273,305,403,422,432
3,25,42,66,72,82,91,107,120,125,166,175,191,238,263,273,325,329,340,347,459
5,50,56,57,58,73,77,90,119,141,162,164,179,187,194,216,230,296,305,430,750
4,22,32,39,41,53,75,86,100,104,125,126,159,193,216,218,236,326,365,492,827
2,14,24,40,40,45,52,57,62,76,96,133,158,173,204,249,312,425,468,583,626
17,25,33,34,41,49,72,77,92,102,122,127,171,186,211,343,346,402,412,422,555
45,57,58,74,75,77,86,113,114,124,124,139,191,195,197,250,293,329,345,370,583
1,10,12,14,25,32,54,96,96,113,119,120,192,196,284,284,306,357,371,414,743
5,6,21,41,41,52,52,65,84,91,107,141,147,175,175,196,270,306,421,636,807
6,9,10,17,38,40,44,52,90,95,118,124,192,226,232,233,235,254,307,428,1089
26,36,38,45,57,86,141,149,149,166,175,185,186,249,250,275,290,309,318,331,378
21,29,33,35,44,44,57,61,63,70,72,97,101,124,293,321,348,348,394,432,852
21,23,34,48,76,76,79,99,99,167,177,191,211,230,245,261,314,321,343,360,464
8,14,28,34,35,37,45,54,67,69,81,89,104,105,126,136,199,227,366,533,1482
1,4,12,24,52,83,97,98,102,103,116,125,137,154,176,176,190,264,383,540,1002
3,29,33,39,43,59,60,69,77,80,84,161,205,222,266,286,308,312,425,498,580
6,19,21,23,35,47,56,80,82,87,92,123,125,135,140,177,311,320,524,655,781
6,9,23,27,28,31,50,119,120,139,186,198,198,221,235,261,283,355,384,417,549
8,12,16,31,52,62,67,73,91,127,143,159,211,219,248,273,286,324,384,396,657
19,25,36,48,59,62,81,82,102,137,154,158,172,206,234,240,241,379,402,461,541
1,12,29,34,42,61,64,76,119,135,135,140,167,199,212,212,293,390,413,496,609
4,24,28,52,57,82,87,88,102,110,129,152,167,175,195,223,303,320,419,455,667
1,6,13,49,51,60,61,62,87,104,122,155,165,179,193,199,311,326,429,433,833
6,9,10,23,32,79,94,115,119,139,154,158,161,234,235,237,299,307,404,449,575
8,8,38,38,45,54,56,57,62,82,111,120,190,222,262,326,376,377,416,457,534
8,9,18,30,32,32,37,50,55,116,125,157,166,227,231,286,318,350,385,597,610
4,9,11,19,27,29,32,68,115,123,129,173,179,196,254,259,334,401,439,458,580
3,10,17,27,30,30,43,44,44,73,79,108,109,109,166,200,226,238,527,657,1099
25,37,49,74,104,104,107,128,131,137,137,138,148,184,203,223,255,323,350,484,498
22,30,43,43,54,76,87,105,142,151,174,174,175,179,180,181,200,252,353,485,733
4,5,10,11,50,68,93,111,126,139,139,156,167,211,211,280,308,314,368,426,642
18,37,51,60,67,79,101,101,143,147,161,172,193,211,221,239,282,282,330,425,519
13,33,38,42,44,52,55,75,95,115,125,139,142,192,196,249,259,273,277,600,825
1,2,7,11,15,18,26,43,77,94,100,107,116,227,297,303,374,399,506,532,584
10,19,26,59,68,100,105,110,127,137,152,155,197,220,277,298,298,302,368,404,407
21,25,45,51,60,67,85,85,93,109,110,199,205,214,225,292,297,349,422,431,454
5,5,25,27,38,56,68,80,82,96,119,175,185,201,226,343,350,363,433,451,511
4,7,30,35,80,87,92,100,123,140,146,161,186,204,231,265,270,323,393,413,549
10,56,65,65,76,79,79,79,80,126,134,137,141,167,317,335,343,345,354,364,487
10,22,31,31,41,48,54,60,84,104,111,124,127,245,246,282,332,419,436,484,548
3,20,30,39,66,74,87,108,118,144,165,173,176,184,250,279,298,306,330,420,569
6,16,18,21,28,45,68,73,74,74,84,98,122,124,153,193,321,477,574,597,673
3,4,16,53,54,70,70,73,81,93,133,154,168,188,213,282,360,413,416,445,550
2,23,43,45,53,73,75,104,125,136,141,170,176,176,207,263,289,391,405,444,498
6,7,34,38,55,56,69,83,112,115,123,163,167,168,169,214,220,262,364,688,726
26,35,41,43,54,62,98,109,111,119,136,140,145,181,212,257,270,275,362,542,621
14,24,24,25,30,31,62,65,125,140,143,146,174,182,198,255,303,320,403,522,653
4,4,5,31,37,45,48,67,93,111,119,126,139,139,161,220,278,295,296,400,1221
2,18,18,25,41,57,68,70,79,85,117,117,123,163,181,181,210,267,284,307,1426
1,6,21,25,51,52,75,89,93,130,162,186,186,186,250,270,276,279,469,510,522
10,27,42,62,65,75,78,81,102,107,156,171,214,214,229,234,253,336,336,341,706
9,27,33,38,42,54,82,84,129,129,134,162,164,165,312,318,326,341,342,415,533
17,30,31,54,62,73,101,110,111,142,156,163,174,177,204,273,277,294,297,299,794
3,16,19,39,50,59,86,88,91,100,103,135,137,155,155,184,300,327,466,484,842
12,16,29,49,90,95,108,135,147,161,163,190,195,221,245,262,297,302,302,313,507
1,2,6,7,17,27,45,54,69,113,128,133,154,158,176,216,332,430,521,555,695
14,17,17,18,27,42,51,94,116,119,121,139,149,186,251,301,311,336,378,453,699
9,11,25,29,32,32,36,95,104,137,157,205,228,253,270,316,325,358,372,386,459
6,9,14,31,49,65,66,72,124,125,134,156,178,207,207,220,295,436,455,459,531
4,6,8,8,12,30,32,56,149,159,173,186,220,229,271,293,330,346,416,435,476
4,6,8,9,9,17,34,88,120,120,121,140,147,155,185,229,231,256,391,683,886
18,31,42,48,57,65,70,71,85,88,117,145,185,236,260,288,297,323,342,534,537
1,3,20,20,21,41,68,74,74,74,80,83,141,165,209,223,248,383,411,665,835
2,8,32,37,45,51,69,75,83,118,154,166,187,187,196,238,301,313,345,599,633
1,1,8,28,32,35,44,51,76,132,140,174,176,177,196,215,261,268,366,642,816
8,11,17,17,19,29,43,55,82,104,121,130,160,178,191,238,293,428,503,582,630
6,22,23,25,42,44,97,116,123,140,173,197,206,210,228,235,259,338,432,455,468
17,36,46,52,56,59,87,94,95,108,117,138,138,189,239,260,354,355,428,431,540
6,10,13,17,39,41,73,83,94,131,139,156,187,195,246,278,361,402,426,462,480
26,27,39,51,54,64,69,72,89,147,159,161,176,182,199,240,298,326,394,457,609
4,32,60,66,75,79,94,98,105,113,118,125,129,158,167,211,280,296,433,436,760
9,11,26,26,26,63,65,66,80,101,141,163,186,193,252,280,381,382,416,463,509
10,36,38,45,53,58,101,101,110,114,114,190,190,238,254,264,274,276,393,477,503
9,20,24,34,53,65,69,99,99,118,137,209,232,241,249,257,261,301,406,413,543
4,25,83,92,95,105,122,124,126,137,149,149,199,205,213,219,221,227,284,518,542
3,8,18,18,21,26,31,33,43,53,68,79,85,86,167,200,205,322,358,766,1249
1,23,26,35,41,45,66,67,75,85,109,112,133,190,196,226,287,321,510,573,718
7,19,30,83,91,96,99,99,99,116,147,220,226,251,251,259,272,293,358,392,431
8,29,42,45,48,73,88,94,104,110,139,142,152,153,155,164,224,292,388,394,995
4,14,14,14,41,50,54,54,117,132,145,154,165,168,220,222,237,375,450,538,671
3,17,22,23,41,55,71,87,96,102,105,125,128,160,170,197,257,305,309,686,880
1,12,18,29,32,42,88,107,122,133,136,149,154,157,197,212,322,353,357,483,735
1,2,6,19,72,74,74,79,84,117,123,124,175,223,259,289,290,305,344,515,664
2,2,56,72,76,84,97,106,114,124,170,174,174,200,238,239,242,298,403,480,488
10,14,14,14,35,45,47,54,62,72,89,100,117,142,165,342,360,411,506,522,718
1,2,2,9,14,18,48,68,83,84,117,122,200,224,230,237,327,401,498,503,651
13,30,44,57,59,67,78,122,126,126,134,177,212,213,261,281,288,301,320,388,542
7,15,39,44,69,90,94,148,178,186,192,196,199,202,213,250,252,255,285,350,575
8,14,16,21,34,48,66,90,118,120,124,125,161,177,196,197,206,261,324,512,1021
12,16,24,27,27,46,49,55,82,91,95,98,102,106,190,233,273,294,481,726,812
22,28,32,56,58,63,69,90,103,111,111,115,137,138,163,163,186,275,355,671,893
2,11,38,38,51,91,103,108,147,162,166,172,178,179,211,242,298,363,404,415,460
13,19,42,42,57,58,77,78,104,110,147,153,177,181,203,235,340,384,424,496,499
4,4,5,17,58,76,91,104,104,158,178,204,207,219,240,240,271,287,368,456,548
33,34,44,67,68,71,82,88,134,147,172,173,192,195,222,249,276,298,321,321,652
12,61,62,68,74,80,105,111,119,123,132,146,153,166,192,199,247,342,474,478,495
8,12,25,34,60,77,77,90,100,147,176,210,215,233,234,261,297,304,362,451,466
1,1,10,15,54,91,98,108,128,131,136,219,222,222,233,238,291,299,356,459,527
5,20,40,66,71,82,91,111,113,132,136,157,201,231,251,270,272,292,323,374,601
3,10,27,32,45,71,73,73,87,94,105,109,118,218,267,307,328,328,422,502,620
23,40,41,44,44,46,48,51,72,73,77,116,174,191,210,217,349,405,411,573,634
4,14,49,62,62,64,71,165,178,188,191,191,199,208,220,268,310,320,328,343,404
8,9,43,44,44,49,73,109,112,118,163,164,167,177,228,231,289,369,386,511,545
5,12,14,20,25,59,95,112,116,147,148,153,178,185,200,251,324,334,409,439,613
8,17,24,33,70,86,92,120,120,131,137,175,181,187,211,242,295,296,420,486,508
5,7,25,28,34,34,38,56,59,99,110,131,173,196,304,324,371,387,432,508,518
6,15,18,20,30,44,44,44,46,94,100,118,181,202,210,213,305,351,446,638,714
4,6,19,32,50,61,67,74,86,93,166,195,198,202,226,228,232,288,420,532,660
25,40,46,48,70,71,86,92,94,100,105,133,168,182,200,217,221,384,384,575,598
1,23,31,36,36,38,56,56,60,154,187,187,202,207,244,282,285,309,419,487,539
10,10,34,55,59,62,66,83,93,113,121,126,132,134,160,262,294,432,443,573,577
1,1,2,7,7,17,53,53,63,183,188,196,208,228,238,251,270,303,354,581,635
10,23,26,32,37,41,44,49,84,84,91,112,140,187,197,261,264,360,408,647,742
4,12,12,16,38,63,65,91,96,97,133,133,183,209,215,241,263,321,388,481,778
13,23,25,27,27,58,63,71,78,104,116,135,162,165,182,212,232,237,397,623,889
23,28,36,51,64,66,115,115,115,146,164,222,229,237,294,296,298,303,307,365,365
10,11,15,35,39,47,52,58,66,76,80,96,99,134,134,147,273,287,385,865,930
3,16,32,45,56,58,72,74,87,100,105,111,153,198,227,273,330,352,370,407,770
3,4,22,27,57,76,84,87,101,101,132,158,184,271,286,300,326,343,364,418,495
11,18,29,42,47,48,48,66,66,109,113,114,186,229,255,262,309,330,353,418,786
1,9,9,46,56,67,107,116,142,149,176,193,196,206,208,268,331,347,389,407,416
35,45,46,46,66,66,114,116,116,123,133,135,137,150,158,204,255,329,477,531,557
6,11,51,58,58,65,77,118,129,147,149,151,154,164,164,180,284,365,372,464,672
19,22,44,63,77,90,90,90,93,99,120,136,137,164,233,249,264,277,356,356,860
5,19,20,27,28,28,36,79,89,100,106,148,156,166,192,210,300,301,353,356,1120
5,7,7,10,20,52,61,76,81,119,131,135,159,171,182,216,260,282,522,553,790
60,63,84,85,90,107,112,113,115,124,134,135,149,150,223,240,267,283,299,433,573
26,26,28,30,44,49,78,87,121,124,142,157,171,201,203,221,241,329,430,513,618
7,10,15,15,37,64,70,140,148,172,175,196,209,228,231,235,258,290,312,502,525
5,13,26,31,40,48,61,64,68,125,127,133,175,210,215,264,299,368,381,470,716
37,42,42,55,72,79,82,83,85,87,126,129,135,142,192,220,246,318,408,414,845
17,31,32,38,47,72,84,87,101,153,153,154,164,167,171,234,332,387,401,479,535
16,19,24,31,35,39,56,81,103,103,130,163,174,196,207,232,286,341,378,398,827
14,19,24,39,62,82,90,93,156,169,170,172,175,189,193,237,267,268,362,405,653
11,19,37,41,69,76,86,87,87,90,110,126,126,154,247,339,365,382,385,491,511
1,25,36,42,49,60,65,105,128,155,156,157,179,190,209,211,231,310,344,424,762
10,20,31,34,35,36,47,52,69,73,93,139,147,164,205,222,258,301,322,580,1001
1,29,31,40,40,60,67,75,81,101,111,122,154,163,166,172,227,254,329,469,1147
16,26,26,31,38,75,95,100,112,114,128,138,149,169,240,290,291,296,379,433,693
6,14,37,41,51,58,59,70,78,88,143,159,171,218,244,251,356,387,462,463,483
14,40,43,49,52,53,53,75,80,96,106,121,145,146,151,244,288,342,459,478,804
15,31,31,47,53,81,83,88,131,145,187,188,209,210,210,213,246,339,369,470,493
1,3,6,57,62,63,66,70,86,88,115,127,142,151,177,204,227,268,413,569,944
11,17,21,22,71,94,94,101,104,113,127,148,148,154,178,205,267,299,310,677,678
1,3,11,15,18,29,56,71,86,92,104,113,254,263,290,297,307,361,394,433,641
1,13,19,41,45,46,54,57,78,83,97,97,122,171,177,190,267,335,560,679,707
21,23,29,32,39,44,45,47,60,64,81,124,167,180,187,187,291,341,567,602,708
28,38,46,61,77,79,83,88,105,128,141,142,143,149,182,291,309,342,416,456,535
11,20,20,32,37,38,48,77,77,94,95,121,173,184,336,342,388,397,428,440,481
18,18,32,39,56,66,108,111,129,129,133,167,179,188,207,261,322,330,408,464,474
1,19,20,54,60,74,77,88,114,116,117,131,192,211,216,243,292,328,401,474,611
7,12,14,38,41,42,43,68,69,74,84,93,131,154,259,262,378,406,419,583,662
15,32,34,48,57,65,80,94,95,113,131,154,155,160,180,242,262,380,476,499,567
17,25,39,54,64,66,69,79,81,88,95,137,165,177,204,236,275,292,298,550,828
8,9,14,28,32,34,39,44,62,75,83,97,98,157,187,219,329,344,425,676,879
3,11,19,25,41,62,83,116,118,133,161,164,181,182,188,242,253,277,292,596,692
11,53,64,77,81,82,91,103,112,113,116,143,150,160,188,200,263,268,401,516,647
2,11,36,38,55,62,65,76,95,123,148,163,225,234,245,267,268,297,328,518,583
29,32,42,51,74,78,78,81,112,122,141,144,181,199,206,269,284,399,403,421,493
24,25,42,56,63,71,88,106,121,122,163,169,191,192,195,216,303,330,384,406,572
14,24,35,51,64,70,87,87,99,109,135,161,174,189,192,206,239,428,476,493,506
16,17,31,32,58,65,80,82,103,104,117,121,121,131,137,144,224,418,472,629,737
16,25,27,68,80,97,139,143,167,168,172,176,177,209,214,293,299,312,314,352,391
8,24,25,35,37,39,71,87,87,87,127,133,154,172,203,242,341,362,424,442,739
1,13,23,26,28,46,62,103,134,139,158,161,209,252,258,273,359,369,369,394,462
5,16,16,26,35,44,58,97,103,106,122,123,179,199,216,254,259,260,285,614,822
7,21,43,45,48,67,83,87,91,112,128,135,137,170,206,217,258,358,402,448,776
16,37,66,71,80,102,121,131,132,148,148,157,177,190,207,245,297,297,304,325,588
3,20,42,43,71,75,82,83,83,106,108,122,140,164,179,185,262,304,415,466,886
9,14,17,28,48,58,71,98,102,126,134,140,184,192,194,243,290,309,316,599,667
8,21,35,38,64,66,78,81,88,117,121,166,181,260,296,313,342,345,383,395,441
12,48,68,73,84,89,90,96,107,120,141,143,151,168,175,240,288,296,303,572,575
1,41,50,66,70,82,96,106,134,144,144,144,163,175,178,197,201,240,319,622,666
17,20,26,57,89,89,102,104,145,151,160,174,175,211,228,238,247,315,336,365,590
14,16,28,31,43,68,81,97,97,99,103,116,118,155,175,182,250,281,447,515,923
39,41,50,56,72,77,90,97,102,110,114,166,172,181,185,256,278,315,318,492,628
16,50,58,69,84,100,101,113,113,119,126,182,216,222,248,276,280,296,296,308,566
2,8,24,36,58,66,76,92,93,137,139,168,178,218,231,233,248,279,301,614,638
6,9,19,57,64,71,71,81,96,129,155,198,220,229,245,314,314,330,344,400,487
1,6,22,35,53,53,97,102,119,125,147,156,159,188,196,204,205,243,300,607,821
1,14,15,38,40,45,95,107,131,146,164,179,188,191,226,235,242,315,390,480,597
31,33,37,38,68,81,97,101,107,108,114,125,149,183,210,244,246,262,447,534,624
4,6,12,19,25,27,32,65,75,86,141,146,164,181,209,216,256,324,410,568,873
17,20,22,26,46,53,53,67,75,86,86,87,109,135,266,280,280,337,474,597,723
43,46,46,55,62,80,84,109,109,112,117,117,128,160,207,208,240,288,520,525,583
28,40,43,45,51,56,56,57,59,95,100,151,170,206,215,217,266,314,402,441,827
6,8,14,19,29,47,65,71,83,110,132,146,175,207,210,212,307,324,337,425,912
7,9,21,22,29,42,61,69,86,99,125,149,164,185,201,216,216,397,423,655,663
10,12,27,28,33,43,46,49,59,69,117,129,168,175,184,354,370,373,456,565,572
2,3,32,61,70,90,99,113,125,128,135,141,142,149,156,203,259,261,294,602,774
2,8,15,24,49,54,76,82,82,102,115,135,157,158,160,214,302,315,418,504,867
15,16,21,40,40,44,66,87,99,136,139,140,146,152,168,207,276,290,304,334,1119
14,22,37,48,54,62,105,109,109,112,127,157,167,185,226,238,271,292,391,487,626
18,26,68,86,91,92,112,118,139,142,153,156,162,190,227,239,284,303,360,382,491
13,18,31,61,84,94,100,121,129,129,176,193,198,229,236,275,290,307,317,408,430
12,14,28,41,62,93,102,112,115,119,146,153,172,188,216,227,235,295,457,473,579
5,16,34,37,37,93,99,110,139,144,152,154,162,197,203,231,267,332,430,432,565
47,49,61,70,83,87,89,101,107,115,149,156,160,200,246,263,319,329,330,337,541
3,9,13,13,18,19,33,37,51,56,56,90,137,155,210,253,322,369,536,549,910
2,2,9,18,19,52,77,78,85,114,140,160,187,216,232,329,391,408,428,436,456
10,19,21,36,53,53,69,70,91,99,111,133,136,190,253,258,339,426,452,462,558
2,20,21,30,32,33,33,58,68,76,84,101,124,193,207,217,253,254,450,699,884
9,12,27,34,57,109,119,150,152,172,173,184,185,189,229,260,270,280,354,364,510
2,2,13,23,28,40,45,50,50,52,54,114,136,196,198,266,343,472,506,520,729
6,14,16,33,57,59,65,66,78,108,115,132,145,147,160,161,219,309,434,540,975
22,25,28,46,54,57,57,65,71,91,112,130,134,155,158,258,268,453,463,504,688
10,12,41,53,60,62,64,87,117,129,130,167,172,172,188,190,229,241,263,547,905
7,10,19,33,38,38,44,65,65,75,79,122,132,182,186,275,305,306,472,510,876
3,10,12,29,46,57,62,94,129,137,151,168,189,202,228,262,266,295,415,468,616
2,11,11,12,16,46,58,87,104,119,131,142,174,182,205,214,220,353,360,487,905
20,62,63,72,84,91,93,93,94,101,117,146,194,201,211,215,250,282,294,563,593
14,27,27,29,32,41,51,64,71,97,136,137,147,178,207,312,341,416,420,437,655
3,8,25,46,66,97,97,116,138,140,140,143,165,189,209,225,232,259,262,583,696
